route_operator,first,second
"ТДВ ""АТП 10911"" адреса: Антрацитівське шосе, 36, м.Красний Луч, Луганська область; АД 033931",Дебальцеве , Красний Луч
"ТОВ  ""Іксора"" адреса: Бериславське шосе, 11, м.Херсон, 73008, АВ 550452",Херсон , Миколаїв 
"ФОП Яцишин М.М. адреса: пр-т Молоді, 8-А, кв.708, м.Луцьк, 43024, АД 062842",Рівне , Луцьк
"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",Київ , Коростень
"ПП ""ЛЮГ"", адреса: пров. Рибальський, буд.10-А, м.Полтава, 36020, АЕ 265082",Зачепилівка , Полтава
"ТОВ ""Автомобільна  компанія ""Транспортні лінії України"", адреса: вул.Виставочна, 2-В, м.Кіровоград, 25014, АГ 586996",Жовті Води , Кіровоград
"ТДВ ""Миколаївське АТП 14627"", адреса:Львівське шосе, 1, м.Миколаїв, Львівська область, 81600, АГ 504902 ",Львів,Рогатин
"ТДВ ""АТП 10911"", адреса: Антрацитівське шосе, 36, м.Красний Луч, Луганська область, 94505, АД 033931",Дебальцеве , Красний Луч
"ТОВ ""Київ-Експрес-1"", адреса: вул.Службова, 5, м.Київ, 03115, АВ 532308",Київ , Новодністровськ
"ФОП Возруд М.А., адреса: вул.Велика Кільцева, 136, кв.48, м.Харків, 61143",Харків , Кирилівка
"ФОП Сергеєва Н.І., адреса: вул. Клима Савура, 1, кв.30, м.Рівне, 33023, АВ 532962",Рівне , Луцьк
"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",Київ , Коростень
"ТОВ ""Автомобільна  компанія ""Транспортні лінії України"", адреса: вул.Виставочна, 2-В, м.Кіровоград, 25014, АГ 586996",Жовті Води , Кіровоград
"ТЗОВ ""Львівське АТП-14631"", адреса: вул.Пластова, 10, м.Львів, 79056, АВ550341",Львів,Ворохта
"ПП ""ЛЮГ"", адреса: пров. Рибальський, буд.10-А, м.Полтава, 36020, АЕ 265082",Полтава,Черкаси
-,Голованівськ , Київ 
-,Конотоп,Бахмач
-,Драбів,Київ
"ТДВ ""АТП 10911"", адреса: Антрацитівське шосе, 36, м.Красний Луч, Луганська область, 94505, АД 033931",Дебальцеве , Красний Луч
"ТОВ ""ТСК-Авто"", адреса: вул. Урицького, буд. 4, м.Кривий Ріг, Дніпропетровська область, 50004, АВ 616229",Кривий Ріг,Херсон
"ФОП Сергеєва Н.І., адреса: вул. Клима Савура, 1, кв.30, м.Рівне, 33023, АВ 532962",Рівне , Луцьк
"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",Київ,Коростень
"ПП ""ЛЮГ"", адреса: пров. Рибальський, буд.10-А, м.Полтава, 36020, АЕ 265082",Миргород,Мелітополь
"ТДВ ""Денисівка"", адреса: вул.М.Тореза, 64-Б, м.Чернівці, 58007, АГ 587966",Чернівці,Снятин
"ПП "" АТП Кривешко"", адреса: Немирівське шоссе, буд. 92-в, с.Вінницькі Хутори, Вінницький район, Вінницька область, АГ 592041",Вінниця,Умань
"ТОВ ""Альфа Транс"", адреса: пр-т Ювілейний, 20-А, кв.204, м.Запоріжжя, 69114, АД 033480",Запоріжжя,Донецьк
"ТДВ ""АТП 10911"", адреса: Антрацитівське шосе, 36, м.Красний Луч, Луганська область, 94505, АД 033931",Дебальцеве , Красний Луч
"ПП ""Нов-Транс-Авто"", адреса: вул. Котовського, буд. 106-А, м.Новоселиця, Чернівецька область, АЕ 421060",Чернівці,Городенка
"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",Київ,Коростень
