arrival,bus_age,bus_comfort_level,company_id,coords,count,departure,drives_per_day,id,license_data,marchRoute,number_of_buses,regulative_institution,route_regularity
Вороб'їв,"12 років, 29 років, 11 років",-,4112904420288236032,"[[51.50551, 31.28487], [51.69522, 30.86758]]",1,Чернігів,,2333,24.12.2015-23.12.2020,Чернігів - Вороб'їв,-,Чернігівська область,щоденно
Чернігів,"9 років, 14 років, 14 років, 10 років, 10 років, 10 років, 10 років, 13 років, 10 років, 10 років, 11 років, 12 років, 14 років, 11 років, 11 років, 12 років, 14років, 11 років, 10 років, 10 років, 10 років, 10 років, 10 років, 11 років, 11 років, 11років, 10 років, 10 років, 12 років, 13 років, ",-,6658250807446479872,"[[51.801050000000004, 31.08383], [51.50551, 31.28487]]",3,Ріпки,,2336,24.12.2015-23.12.2020,Ріпки - Чернігів,-,Чернігівська область,щоденно
Чернігів,"9 років, 14 років, 14 років, 10 років, 10 років, 10 років, 10 років, 13 років, 10 років, 10 років, 11 років, 12 років, 14 років, 11 років, 11 років, 12 років, 14років, 11 років, 10 років, 10 років, 10 років, 10 років, 10 років, 11 років, 11 років, 11років, 10 років, 10 років, 12 років, 13 років, ",-,4112904420288236032,"[[51.801050000000004, 31.08383], [51.50551, 31.28487]]",1,Ріпки,,2337,24.12.2015-23.12.2020,Ріпки - Чернігів,-,Чернігівська область,щоденно
Ріпки ч/з Павлівку,"9 років, 14 років, 14 років, 10 років, 10 років, 10 років, 10 років, 13 років, 10 років, 10 років, 11 років, 12 років, 14 років, 11 років, 11 років, 12 років, 14років, 11 років, 10 років, 10 років, 10 років, 10 років, 10 років, 11 років, 11 років, 11років, 10 років, 10 років, 12 років, 13 років, ",-,4112904420288236032,"[[51.50551, 31.28487], [51.8051758, 31.0940874]]",1,Чернігів,,2338,24.12.2015-23.12.2020,Чернігів - Ріпки ч/з Павлівку,-,Чернігівська область,щоденно
Чернігів,"20 років, 22 роки",,1841566688816366080,"[[51.34567, 32.87794], [51.50551, 31.28487]]",1,Батурин,,2339,24.12.2015-23.12.2020,Батурин - Чернігів,-,Чернігівська область,щоденно
Ріпки,"9 років, 14 років, 14 років, 10 років, 10 років, 10 років, 10 років, 13 років, 10 років, 10 років, 11 років, 12 років, 14 років, 11 років, 11 років, 12 років, 14років, 11 років, 10 років, 10 років, 10 років, 10 років, 10 років, 11 років, 11 років, 11років, 10 років, 10 років, 12 років, 13 років, ",-,106390751800301376,"[[51.50551, 31.28487], [51.801050000000004, 31.08383]]",1,Чернігів,,2340,24.12.2015-23.12.2019,Чернігів - Ріпки,-,Чернігівська область,щоденно
Грабівка (Чернігівська),"25 років, 14 років, 11 років, 22 роки",-,5437201799088839680,"[[51.50551, 31.28487], [51.30897, 31.4628]]",2,Чернігів,,2344,24.12.2015-23.12.2020,Чернігів - Грабівка (Чернігівська),-,Чернігівська область,"3,5,6,7 днях тижня"
Борзна ч/з М.Загорівку,"11 років, 25 років, 17 років",-,8995123653839222784,"[[51.04801, 31.88688], [51.252485, 32.4227839]]",1,Ніжин,,2347,24.12.2015-23.12.2020,Ніжин - Борзна ч/з М.Загорівку,-,Чернігівська область,"1,2,3,4,5,7 днях тижня"
Козилівка,"21 років, 18 років, 19 років",-,5156463132741730304,"[[51.50551, 31.28487], [51.88259, 32.72012]]",1,Чернігів,,2348,24.12.2015-23.12.2018,Чернігів - Козилівка,-,Чернігівська область,щоденно
Мена ч/з Слобідку,"10 років, 9 років",-,7849159346598965248,"[[51.52387, 32.49985], [51.5240113, 32.2168442]]",1,Сосниця,,2356,29.02.2016-28.02.2021,Сосниця - Мена ч/з Слобідку,-,Чернігівська область,7 днях тижня
Матвіївка (Чернігівська),,-,7849159346598965248,"[[51.52387, 32.49985], [51.681379, 32.46063]]",4,Сосниця,,2359,13.02.2016-13.02.2019,Сосниця - Матвіївка (Чернігівська),-,Чернігівська область,"5,6,7 днях тижня/6 днях тижня"
Любеч,"13 років, 18 років",-,6406686214910785536,"[[51.50551, 31.28487], [51.7026, 30.65692]]",1,Чернігів,,2360,29.02.2016-28.02.2021,Чернігів - Любеч,-,Чернігівська область,щоденно
