coords,lat,lng,name
"['48.34072', '38.4049']",48.34072,38.4049,"Дебальцеве, Україна"
"['48.67274', '25.50163']",48.67274,25.50163,"Городенка, Україна"
"['46.1161', '32.91124']",46.1161,32.91124,"Скадовськ, Україна"
"['46.65581', '32.6178']",46.65581,32.6178,"Херсон, Україна"
"['50.62308', '26.22743']",50.62308,26.22743,"Рівне, Україна"
"['49.19385', '35.23943']",49.19385,35.23943,"Зачепилівка, Україна"
"['49.55342', '25.58918']",49.55342,25.58918,"Тернопіль, Україна"
"['47.50035', '33.91748']",47.50035,33.91748,"Нововоронцовка, Україна"
"['49.83826', '24.02324']",49.83826,24.02324,"Львів, Україна"
"['50.45466', '30.5238']",50.45466,30.5238,"Київ, Україна"
"['49.98081', '36.25272']",49.98081,36.25272,"Харків, Україна"
"['48.384', '30.46131']",48.384,30.46131,"Голованівськ, Україна"
"['51.24032', '33.20263']",51.24032,33.20263,"Конотоп, Україна"
"['49.96029', '32.1407']",49.96029,32.1407,"Драбів, Україна"
"['47.90966', '33.38044']",47.90966,33.38044,"Кривий Ріг, Україна"
"['49.53748', '26.21568']",49.53748,26.21568,"Волочиськ, Україна"
"['49.96854', '33.60886']",49.96854,33.60886,"Миргород, Україна"
"['49.23278', '28.48097']",49.23278,28.48097,"Вінниця, Україна"
"['47.82289', '35.19031']",47.82289,35.19031,"Запоріжжя, Україна"
"['46.75451', '33.34864']",46.75451,33.34864,"Каховка, Україна"
"['51.86296', '33.4698']",51.86296,33.4698,"Шостка, Україна"
"['48.023', '37.80224']",48.023,37.80224,"Донецьк, Україна"
"['48.67448', '28.84641']",48.67448,28.84641,"Тульчин, Україна"
"['49.26223', '23.85609']",49.26223,23.85609,"Стрий, Україна"
"['50.36253', '28.68913']",50.36253,28.68913,"Піщанка, Україна"
"['49.80956', '26.44227']",49.80956,26.44227,"Теофіполь, Україна"
"['47.95507', '32.53674']",47.95507,32.53674,"Устинівка, Україна"
"['50.65864', '25.55188']",50.65864,25.55188,"Острожець, Україна"
"['46.76644', '36.79872']",46.76644,36.79872,"Бердянськ, Україна"
"['48.56705', '39.31706']",48.56705,39.31706,"Луганськ, Україна"
"['49.42161', '26.99653']",49.42161,26.99653,"Хмельницький, Україна"
"['48.62988', '38.54806']",48.62988,38.54806,"Первомайськ, Україна"
"['48.4593', '35.03865']",48.4593,35.03865,"Дніпропетровськ, Україна"
"['46.47747', '30.73262']",46.47747,30.73262,"Одеса, Україна"
"['48.34493', '33.50374']",48.34493,33.50374,"Жовті Води, Україна"
"['48.01179', '23.57061']",48.01179,23.57061,"Тячів, Україна"
"['50.9216', '34.80029']",50.9216,34.80029,"Суми, Україна"
"['49.42854', '32.06207']",49.42854,32.06207,"Черкаси, Україна"
"['50.29691', '27.6622']",50.29691,27.6622,"Баранівка, Україна"
"['51.04801', '31.88688']",51.04801,31.88688,"Ніжин, Україна"
"['48.02612', '38.77225']",48.02612,38.77225,"Сніжне, Україна"
"['48.29149', '25.94034']",48.29149,25.94034,"Чернівці, Україна"
"['48.81577', '29.97703']",48.81577,29.97703,"Христинівка, Україна"
"['47.09514', '37.54131']",47.09514,37.54131,"Маріуполь, Україна"
"['48.72305', '37.55629']",48.72305,37.55629,"Краматорськ, Україна"
"['51.08203', '28.40057']",51.08203,28.40057,"Лугини, Україна"
"['49.92295', '35.42104']",49.92295,35.42104,"Високопілля, Україна"
"['46.96591', '31.9974']",46.96591,31.9974,"Миколаїв, Україна"
"['49.01179', '26.34203']",49.01179,26.34203,"Чемерівці, Україна"
"['45.3531', '36.47429']",45.3531,36.47429,"Керч, Україна"
"['51.8126', '26.12902']",51.8126,26.12902,"Зарічне, Україна"
"['48.21509', '29.36728']",48.21509,29.36728,"Чечельник, Україна"
"['49.41029', '38.15035']",49.41029,38.15035,"Сватове, Україна"
"['46.84891', '35.36533']",46.84891,35.36533,"Мелітополь, Україна"
"['49.01056', '22.77608']",49.01056,22.77608,"Верховина, Україна"
"['48.08964', '39.65243']",48.08964,39.65243,"Свердловськ, Україна"
"[None, None]",,,"Долиняни, Україна"
"[None, None]",,,"Свершківці, Україна"
