,Lat,Long,new_name,old_name
0,48.34072,38.4049,Дебальцеве,"Дебальцеве, Україна"
1,48.67274,25.50163,Городенка,"Городенка, Україна"
2,46.1161,32.91124,Скадовськ,"Скадовськ, Україна"
3,46.65581,32.6178,Херсон,"Херсон, Україна"
4,50.62308,26.22743,Рівне,"Рівне, Україна"
5,49.19385,35.23943,Зачепилівка,"Зачепилівка, Україна"
6,49.55342,25.58918,Тернопіль,"Тернопіль, Україна"
7,47.50035,33.91748,Нововоронцовка,"Нововоронцовка, Україна"
8,49.83826,24.02324,Львів,"Львів, Україна"
9,50.45466,30.5238,Київ,"Київ, Україна"
10,49.98081,36.25272,Харків,"Харків, Україна"
11,48.384,30.46131,Голованівськ,"Голованівськ, Україна"
12,51.24032,33.20263,Конотоп,"Конотоп, Україна"
13,49.96029,32.1407,Драбів,"Драбів, Україна"
14,47.90966,33.38044,Кривий Ріг,"Кривий Ріг, Україна"
15,49.53748,26.21568,Волочиськ,"Волочиськ, Україна"
16,49.96854,33.60886,Миргород,"Миргород, Україна"
17,49.23278,28.48097,Вінниця,"Вінниця, Україна"
18,47.82289,35.19031,Запоріжжя,"Запоріжжя, Україна"
18,50.610186, 31.786467,Запоріжжя (Чернігівська),"Запоріжжя, Чернігівська область"
19,46.75451,33.34864,Каховка,"Каховка, Україна"
20,51.86296,33.4698,Шостка,"Шостка, Україна"
22,48.67448,28.84641,Тульчин,"Тульчин, Україна"
23,49.26223,23.85609,Стрий,"Стрий, Україна"
24,50.36253,28.68913,Піщанка,"Піщанка, Україна"
25,49.80956,26.44227,Теофіполь,"Теофіполь, Україна"
26,47.95507,32.53674,Устинівка,"Устинівка, Україна"
27,50.65864,25.55188,Острожець,"Острожець, Україна"
28,46.76644,36.79872,Бердянськ,"Бердянськ, Україна"
30,49.42161,26.99653,Хмельницький,"Хмельницький, Україна"
31,48.62988,38.54806,Первомайськ,"Первомайськ, Україна"
32,48.4593,35.03865,Дніпропетровськ,"Дніпропетровськ, Україна"
33,46.47747,30.73262,Одеса,"Одеса, Україна"
34,48.34493,33.50374,Жовті Води,"Жовті Води, Україна"
35,48.01179,23.57061,Тячів,"Тячів, Україна"
36,50.9216,34.80029,Суми,"Суми, Україна"
37,49.42854,32.06207,Черкаси,"Черкаси, Україна"
38,50.29691,27.6622,Баранівка,"Баранівка, Україна"
39,51.04801,31.88688,Ніжин,"Ніжин, Україна"
40,48.02612,38.77225,Сніжне,"Сніжне, Україна"
41,48.29149,25.94034,Чернівці,"Чернівці, Україна"
42,48.81577,29.97703,Христинівка,"Христинівка, Україна"
43,47.09514,37.54131,Маріуполь,"Маріуполь, Україна"
44,48.72305,37.55629,Краматорськ,"Краматорськ, Україна"
45,51.08203,28.40057,Лугини,"Лугини, Україна"
46,49.92295,35.42104,Високопілля,"Високопілля, Україна"
47,46.96591,31.9974,Миколаїв,"Миколаїв, Україна"
48,49.01179,26.34203,Чемерівці,"Чемерівці, Україна"
50,51.8126,26.12902,Зарічне,"Зарічне, Україна"
51,48.21509,29.36728,Чечельник,"Чечельник, Україна"
52,49.41029,38.15035,Сватове,"Сватове, Україна"
53,46.84891,35.36533,Мелітополь,"Мелітополь, Україна"
54,49.01056,22.77608,Верховина,"Верховина, Україна"
55,48.08964,39.65243,Свердловськ,"Свердловськ, Україна"
56,49.7626976,23.5819456,Долиняни,"Долиняни, Україна"
57,48.8784801,25.4814585,Свершківці,"Свершківці, Україна"
58,49.59373,34.54073,Полтава,"Полтава, Україна"
59,47.9,36.16667,Братське,"Братське, Україна"
60,50.31911,30.29728,Боярка,"Боярка, Україна"
61,47.60126,34.76424,Новокиївка,"Новокиївка, Україна"
62,50.26487,28.67669,Житомир,"Житомир, Україна"
63,50.59323,32.38761,Прилуки,"Прилуки, Україна"
64,49.0495,38.21792,Кремінна,"Кремінна, Україна"
66,50.75932,25.34244,Луцьк,"Луцьк, Україна"
67,51.5225,30.71806,Славутич,"Славутич, Україна"
68,48.33576,38.05325,Горлівка,"Горлівка, Україна"
69,48.34887,36.40266,Першотравенськ,"Першотравенськ, Україна"
70,50.63965,26.36573,Городище,"Городище, Україна"
71,48.5132,32.2597,Кіровоград,"Кіровоград, Україна"
71,48.5132,32.2597,Кропивницький,"Кіровоградcька область"
72,48.44061,38.732,Артемівськ,"Артемівськ, Україна"
73,51.50551,31.28487,Чернігів,"Чернігів, Україна"
74,48.5277,37.7069,Костянтинівка,"Костянтинівка, Україна"
75,48.94832,38.49166,Сєвєродонецьк,"Сєвєродонецьк, Україна"
76,48.32635,31.52852,Новоукраїнка,"Новоукраїнка, Україна"
77,48.66961,33.11593,Олександрія,"Олександрія, Україна"
78,47.56494,31.33078,Вознесенськ,"Вознесенськ, Україна"
79,50.0767,29.9177,Фастів,"Фастів, Україна"
80,48.11853,34.15068,Гуляйполе,"Гуляйполе, Україна"
81,48.51134,34.6021,Дніпродзержинськ,"Дніпродзержинськ, Україна"
82,49.03462,27.23617,Віньківці,"Віньківці, Україна"
83,48.57802,22.85609,Синяк,"Синяк, Україна"
84,50.32942,26.51425,Острог,"Острог, Україна"
85,49.08376,32.65549,Чигирин,"Чигирин, Україна"
86,48.90485,38.44207,Лисичанськ,"Лисичанськ, Україна"
87,47.30778,31.78506,Нова Одеса,"Нова Одеса, Україна"
88,48.379433,31.1655799,"Коббеве (б/в ""Зоря"")","Коббеве (б/в ""Зоря""), Україна"
89,49.78465,23.64806,Городок,"Городок, Україна"
90,49.14892,34.19653,Кобеляки,"Кобеляки, Україна"
91,49.55979,27.95754,Хмільник,"Хмільник, Україна"
93,48.9909,29.8047,Монастирище,"Монастирище, Україна"
94,48.7689,29.92343,Талалаївка,"Талалаївка, Україна"
95,50.20806,34.36376,Зіньків,"Зіньків, Україна"
96,49.47254,24.13543,Новий Розділ,"Новий Розділ, Україна"
97,48.98837,37.80225,Красний Лиман,"Красний Лиман, Україна"
98,48.48429,34.01398,Вільногірськ,"Вільногірськ, Україна"
99,48.89009,23.83721,Новий Мізунь,"Новий Мізунь, Україна"
100,48.46893,38.81669,Алчевськ,"Алчевськ, Україна"
101,50.91542,25.26906,Рожище,"Рожище, Україна"
102,48.28198,37.17585,Красноармійськ,"Красноармійськ, Україна"
103,49.80597,24.89436,Золочів,"Золочів, Україна"
104,50.9506,30.88229,Остер,"Остер, Україна"
105,48.1793,23.29909,Хуст,"Хуст, Україна"
106,50.72576,24.16265,Нововолинськ,"Нововолинськ, Україна"
107,50.44,24.36277,Романівка,"Романівка, Україна"
109,48.13954,38.93715,Красний Луч,"Красний Луч, Україна"
110,50.41694,25.73432,Дубно,"Дубно, Україна"
111,48.54553,26.10526,Горошова,"Горошова, Україна"
112, 48.612822,22.293326,Ужгород,"Ужгород, Україна"
113,48.8532,37.6053001,Слов'янськ,"Слов'янськ, Україна"
114,51.33795,26.60191,Сарни,"Сарни, Україна"
115,48.64308,31.63657,Мала Виска,"Мала Виска, Україна"
116,46.37592,35.36753,Кирилівка,"Кирилівка, Україна"
117,50.00509,25.51183,Почаїв,"Почаїв, Україна"
118,47.43694,35.27417,Василівка,"Василівка, Україна"
119,49.66357,25.77616,Збараж,"Збараж, Україна"
120,50.58518,34.4849,Лебедин,"Лебедин, Україна"
121,50.34004,26.64171,Нетішин,"Нетішин, Україна"
122,48.64331,25.73794,Заліщики,"Заліщики, Україна"
123,48.53115,25.03649,Коломия,"Коломия, Україна"
124,49.01187,24.37308,Калуш,"Калуш, Україна"
125,50.09693,25.72459,Кременець,"Кременець, Україна"
126,48.44942,33.68629,Авангард,"Авангард, Україна"
127,51.5835,27.34463,Березове,"Березове, Україна"
128,49.32509,28.08094,Літин,"Літин, Україна"
129,48.03876,38.59685,Торез,"Торез, Україна"
130,51.55297,24.38196,Дубечне,"Дубечне, Україна"
131,47.57119,34.39637,Нікополь,"Нікополь, Україна"
132,48.807,24.53834,Богородчани,"Богородчани, Україна"
133,48.83716,27.27434,Нова Ушиця,"Нова Ушиця, Україна"
134,49.0440881,37.578484,Святогірськ,"Святогірськ, Україна"
135,49.89928,28.60235,Бердичів,"Бердичів, Україна"
