id,route_name,first,second,company_id,regulative_institution,route_number,route_regularity,drives_per_day,bus_comfort_level,bus_age,license_data,company_name,number_of_buses,count
0,Дебальцеве - Красний Луч,Дебальцеве,Красний Луч,8252780015721235856,Укртрансбезпека ,1/2,щоденно,один ,"М2,М3, В, ІІ, ІІІ",Починаючи з 1986 року,22.04.2013 - 21.04.2018,"ТДВ ""АТП 10911"" адреса: Антрацитівське шосе, 36, м.Красний Луч, Луганська область; АД 033931",1+1,1
1,Городенко - Чернівці,Городенка,Чернівці,0,Укртрансбезпека ,1/2,щоденно,один ,"М2,М3, В, ІІ, ІІІ",NA,NA,NA,1+1,1
3,Скадовськ - Київ ,Скадовськ,Київ,0,Укртрансбезпека ,1/2,"Прямий рейс виконується Пт.Суб.
Зворотній рейс виконується Пон.Нед., Сезонний - 01.06 по 01.09
",один ,"М3, ІІІ",NA,NA,NA,2+1,1
4,Херсон - Миколаїв ,Херсон,Миколаїв,3856106203801030552,Укртрансбезпека ,1/2,щоденно,один ,"М2,М3, В, ІІ, ІІІ",Починаючи з 2001 року,19.01.2015 - 18.01.2019,"ТОВ  ""Іксора"" адреса: Бериславське шосе, 11, м.Херсон, 73008, АВ 550452",1+1,1
5,Рівне - Луцьк,Рівне,Луцьк,848856767841197891,Укртрансбезпека ,1/2,щоденно,один ,"М2,М3, В, ІІ, ІІІ",Починаючи з 2008 року,25.07.2011-24.07.2016,"ФОП Яцишин М.М. адреса: пр-т Молоді, 8-А, кв.708, м.Луцьк, 43024, АД 062842",1+1,1
7,Зачепилівка - Полтава,Зачепилівка,Полтава,8288678435830137262,Укртрансбезпека ,1/2,щоденно,один ,"М2,М3, В, ІІ, ІІІ",Починаючи з 2008 року,25.11.2015-24.11.2020,"ПП ""ЛЮГ"", адреса: пров. Рибальський, буд.10-А, м.Полтава, 36020, АЕ 265082",1+1,1
9,Тернопіль - Нововолинськ,Тернопіль,Нововолинськ,0,Укртрансбезпека ,1/2,щоденно,один ,"М3, ІІІ",-,NA,NA,1+1,1
10,Нововоронцовка - Нікополь,Нововоронцовка,Нікополь,0,Укртрансбезпека ,1/2,щоденно,один ,"М2, М3, В,ІІ, ІІІ",-,-,NA,1+1,1
12,Львів-Рогатин,Львів,Рогатин,3585870385694968854,Укртрансбезпека ,1/2,щоденно,один ,"М2, М3, В,ІІІ",Починаючи з 2011 року,15.09.2011-14.09.2016,"ТДВ ""Миколаївське АТП 14627"", адреса:Львівське шосе, 1, м.Миколаїв, Львівська область, 81600, АГ 504902 ",1+1,1
14,Київ - Новодністровськ,Київ,Новодністровськ,7290312008422022859,Укртрансбезпека ,3/4,щоденно,один ,"М3, ІІІ",Починаючи з 2010 року ,06.03.2012-05.03.2017,"ТОВ ""Київ-Експрес-1"", адреса: вул.Службова, 5, м.Київ, 03115, АВ 532308",2+1,1
16,Харків - Кирилівка,Харків,Кирилівка,1416682163921074515,Укртрансбезпека ,3/4,"щоденно, сезонний - в період з 15.06 по 15.09.",один ,"М3, ІІІ",Починаючи з 1987 року,19.05.2011-18.05.2016,"ФОП Возруд М.А., адреса: вул.Велика Кільцева, 136, кв.48, м.Харків, 61143",2+1,1
20,Львів-Ворохта,Львів,Ворохта,3210629315538505396,Укртрансбезпека ,3/4,щоденно,один ,"М3, ІІІ",Починаючи з 2003 року,01.02.2012-31.01.2017,"ТЗОВ ""Львівське АТП-14631"", адреса: вул.Пластова, 10, м.Львів, 79056, АВ550341",1+1,1
21,Нововоронцовка - Кривий Ріг,Нововоронцовка,Кривий Ріг,0,Укртрансбезпека ,3/4,щоденно,один ,"М2, М3, В, ІІ, ІІІ",NA,NA,NA,1+1,1
23,Голованівськ - Київ ,Голованівськ,Київ,3753025042805931526,Укртрансбезпека ,3/4,щоденно,один ,"М3, ІІІ",-,-,-,2+1,1
24,Конотоп-Бахмач,Конотоп,Бахмач,3753025042805931526,Укртрансбезпека ,3/4,щоденно,один ,"М2, М3, В, ІІ, ІІІ",-,-,-,1+1,1
25,Драбів-Київ,Драбів,Київ,3753025042805931526,Укртрансбезпека ,3/4,Прямий та зворотній рейси виконуються Пон.Пт.Суб.Нед.,один ,"М3, ІІІ",-,-,-,1+1,1
27,Кривий Ріг-Херсон,Кривий Ріг,Херсон,6138143282378117453,Укртрансбезпека ,5/6,щоденно, один,"М3, ІІІ",Починаючи з 2006 року,06.06.2015-05.06.2020,"ТОВ ""ТСК-Авто"", адреса: вул. Урицького, буд. 4, м.Кривий Ріг, Дніпропетровська область, 50004, АВ 616229",1+1,1
28,Волочиськ-Київ,Волочиськ,Київ,0,Укртрансбезпека ,5/6,"Прямий рейс виконується Чт.Нед, зворотній рейси - Пон.Пт.",один ,"М3, ІІІ",NA,NA,NA,2+1,1
31,Миргород-Мелітополь,Миргород,Мелітополь,8288678435830137262,Укртрансбезпека ,5/6,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,24.09.2015-23.09.2020,"ПП ""ЛЮГ"", адреса: пров. Рибальський, буд.10-А, м.Полтава, 36020, АЕ 265082",2+1,1
32,Нововоронцовка-Апостолове,Нововоронцовка,Апостолове,0,Укртрансбезпека ,5/6,щоденно,один ,"М2, М3, В, ІІ, ІІІ",NA,NA,NA,1+1,1
