,0,place_short,Lat,Long
0,Кам'янка,Кам'янка,49.0306474,32.115093300000005
1,Іванопіль,Іванопіль,49.86174129999999,28.209574600000003
2,Миргород,Миргород,49.9627279,33.605333200000004
3,Рогатин,Рогатин,49.40993659999999,24.6106017
4,Котельва,Котельва,50.0688235,34.7645338
5,Катеринопіль,Катеринопіль,48.9474919,30.9624124
6,Донецьк,Донецьк,48.015883,37.80285
7,Кролевець,Кролевець,51.5489435,33.3860497
8,Радивилів,Радивилів,50.1285011,25.2530313
9,Долинська,Долинська,48.1132559,32.765868499999996
10,Вінниця,Вінниця,49.233083,28.468216899999998
11,Тетіїв,Тетіїв,49.366394299999996,29.658381199999997
12,Корець,Корець,50.6227649,27.161445299999997
13,Сатанів,Сатанів,49.2519775,26.2731613
14,Градизьк,Градизьк,49.230251700000004,33.12643070000001
15,Ніжин,Ніжин,51.0377956,31.8880994
16,Новопсков,Новопсков,49.534136600000004,39.120419500000004
17,Куп'янськ,Куп'янськ,49.7055574,37.602799700000006
18,Монастирище,Монастирище,48.996537200000006,29.7999327
19,Новоархангельськ,Новоархангельськ,48.6658441,30.817434000000002
20,Снятин,Снятин,48.4464244,25.569910699999998
21,Новий Розділ,Новий Розділ,49.474503600000006,24.129058399999998
22,Бобровиця,Бобровиця,50.7438882,31.3859435
23,Чернігів,Чернігів,51.4982,31.28934989999999
24,Кирилівка,Кирилівка,46.369246999999994,35.3416317
25,Кілія,Кілія,45.465074200000004,29.248030800000002
26,Ялта,Ялта,46.9591587,37.278294700000004
27,Березне,Березне,50.999623299999996,26.750678999999998
28,Лисичанськ,Лисичанськ,48.9066145,38.443360600000005
29,Цумань,Цумань,50.8349533,25.8829859
30,Вознесенськ,Вознесенськ,47.5605,31.336116999999998
31,Копичинці,Копичинці,49.103781500000004,25.911060199999998
32,Снігурівка,Снігурівка,47.07537,32.806177500000004
33,Бердянськ,Бердянськ,46.77377070000001,36.8034779
34,Велика Писарівка,Велика Писарівка,50.4202773,35.481263399999996
35,Тальне,Тальне,48.887593,30.7044131
36,Олевськ,Олевськ,51.22075599999999,27.6442211
37,Верхній Рогачик,Верхній Рогачик,47.2527947,34.340505900000004
38,Лохвиця,Лохвиця,50.35887229999999,33.2590348
39,Маріуполь,Маріуполь,47.097133,37.543366999999996
40,Новотроїцьке,Новотроїцьке,47.70885620000001,37.5743744
41,Новотроїцьке,Новотроїцьке,46.3515111,34.335511100000005
42,Броди,Броди,50.0788069,25.1478942
43,Солотвино,Солотвино,47.955709399999996,23.877579100000002
44,Южноукраїнськ,Южноукраїнськ,47.822762100000006,31.1840826
45,Косів,Косів,48.3135026,25.082229
46,Рокитне,Рокитне,49.691180200000005,30.478015399999997
47,Рокитне,Рокитне,51.287518,27.2018656
48,Суми,Суми,50.9077,34.7981
49,Барвінкове,Барвінкове,48.9014667,37.0181437
50,Василівка,Василівка,47.4414731,35.2867265
51,Борщів,Борщів,48.80060959999999,26.0488939
52,Любашівка,Любашівка,47.083333,30.033333000000002
53,Бережани,Бережани,49.4438882,24.9361397
54,Вишково,Вишково,48.029128,23.4322848
55,Теплик,Теплик,48.6633108,29.75078139999999
56,Дубно,Дубно,50.4009139,25.7590674
57,Стеблів,Стеблів,49.3992554,31.0978511
58,Боярка,Боярка,50.317116999999996,30.298167
59,Фастів,Фастів,50.063768200000005,29.90496839999999
60,Ладижин,Ладижин,48.6838051,29.247627500000004
61,Вилкове,Вилкове,45.40029939999999,29.596173600000004
62,Старокостянтинів,Старокостянтинів,49.7546828,27.2121595
63,Жмеринка,Жмеринка,49.0390512,28.108593699999997
64,Погребище,Погребище,49.486306400000004,29.268579
65,Сєдове,Сєдове,47.0742685,38.1596609
66,Згурівка,Згурівка,50.4974447,31.7833183
67,Іванівка,Іванівка,48.2350698,38.94200120000001
68,Іванівка,Іванівка,46.9755236,30.469358000000003
69,Іванівка,Іванівка,46.7151845,34.546020500000004
70,Підволочиськ,Підволочиськ,49.5290848,26.1416979
71,Володимирець,Володимирець,51.4238758,26.1385322
72,Ворохта,Ворохта,48.283445799999996,24.5670568
73,Новомиргород,Новомиргород,48.7907203,31.6582633
74,Городенка,Городенка,48.6723982,25.496254500000003
75,Корюківка,Корюківка,51.7754831,32.259579200000005
76,Полонне,Полонне,50.1224689,27.506767
77,Кривий Ріг,Кривий Ріг,47.910483,33.391783000000004
78,Світловодськ,Світловодськ,49.04968350000001,33.2284693
79,Бершадь,Бершадь,48.368953999999995,29.533165399999998
80,Глухів,Глухів,51.6708844,33.907892499999996
81,Городок,Городок,49.7821352,23.6611306
82,Городок,Городок,49.1664842,26.5767453
83,Городок,Городок,49.6023748,29.195744800000003
84,Нова Одеса,Нова Одеса,47.309181,31.788393300000003
85,Калуш,Калуш,49.04142589999999,24.3950384
86,Старобільськ,Старобільськ,49.2736853,38.925548299999996
