id,first,second,company_id,regulative_institution,route_number,route_regularity,drives_per_day,bus_comfort_level,bus_age,license_data,route_operator,number_of_buses
0,Дебальцеве,Красний Луч,3186969038541715699,Укртрансбезпека ,1/2,щоденно,один ,"М2,М3, В, ІІ, ІІІ",Починаючи з 1986 року,22.04.2013 - 21.04.2018,"ТДВ ""АТП 10911"" адреса: Антрацитівське шосе, 36, м.Красний Луч, Луганська область; АД 033931",1+1
1,Городенко,Чернівці,0,Укртрансбезпека ,1/2,щоденно,один ,"М2,М3, В, ІІ, ІІІ",,,,1+1
2,Бар,Віньківці,0,Укртрансбезпека ,1/2,щоденно,один ,"М2,М3, В, І, ІІ, ІІІ",,,,1+1
3,Скадовськ,Київ,0,Укртрансбезпека ,1/2,"Прямий рейс виконується Пт.Суб.
Зворотній рейс виконується Пон.Нед., Сезонний - 01.06 по 01.09
",один ,"М3, ІІІ",,,,2+1
4,Херсон,Миколаїв,7241314070310757630,Укртрансбезпека ,1/2,щоденно,один ,"М2,М3, В, ІІ, ІІІ",Починаючи з 2001 року,19.01.2015 - 18.01.2019,"ТОВ  ""Іксора"" адреса: Бериславське шосе, 11, м.Херсон, 73008, АВ 550452",1+1
5,Рівне,Луцьк,1336254524310454948,Укртрансбезпека ,1/2,щоденно,один ,"М2,М3, В, ІІ, ІІІ",Починаючи з 2008 року,25.07.2011-24.07.2016,"ФОП Яцишин М.М. адреса: пр-т Молоді, 8-А, кв.708, м.Луцьк, 43024, АД 062842",1+1
6,Київ,Коростень,6592077624634029754,Укртрансбезпека ,1/2,щоденно,один ,"М3, ІІІ",Починаючи з 2007 року ,21.08.2014-20.08.2019,"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",1+1
7,Зачепилівка,Полтава,809026480888702631,Укртрансбезпека ,1/2,щоденно,один ,"М2,М3, В, ІІ, ІІІ",Починаючи з 2008 року,25.11.2015-24.11.2020,"ПП ""ЛЮГ"", адреса: пров. Рибальський, буд.10-А, м.Полтава, 36020, АЕ 265082",1+1
8,Жовті Води,Кіровоград,1284177797322816599,Укртрансбезпека ,1/2,щоденно,один ,"М2, М3, В,ІІ, ІІІ",Починаючи з 2001 року,20.04.2014-19.04.2019,"ТОВ ""Автомобільна  компанія ""Транспортні лінії України"", адреса: вул.Виставочна, 2-В, м.Кіровоград, 25014, АГ 586996",1+1
9,Тернопіль,Нововолинськ,0,Укртрансбезпека ,1/2,щоденно,один ,"М3, ІІІ",-,,,1+1
